created_at,entry_id,field1,field2
2024-10-14 06:51:57 UTC,827,22.40000,69.00000
2024-10-14 07:01:58 UTC,828,22.50000,69.00000
2024-10-14 07:11:58 UTC,829,22.40000,69.00000
2024-10-14 07:21:59 UTC,830,22.50000,69.00000
2024-10-14 07:32:00 UTC,831,22.10000,70.00000
2024-10-14 07:42:00 UTC,832,22.00000,70.00000
2024-10-14 07:52:01 UTC,833,22.00000,71.00000
2024-10-14 08:02:02 UTC,834,22.20000,71.00000
2024-10-14 08:12:03 UTC,835,22.10000,71.00000
2024-10-14 08:22:03 UTC,836,22.20000,71.00000
2024-10-14 08:32:04 UTC,837,22.00000,71.00000
2024-10-14 08:42:05 UTC,838,21.90000,70.00000
2024-10-14 08:52:05 UTC,839,21.60000,72.00000
2024-10-14 09:02:06 UTC,840,21.90000,71.00000
2024-10-14 09:12:07 UTC,841,21.50000,72.00000
2024-10-14 09:22:07 UTC,842,21.70000,72.00000
2024-10-14 09:32:08 UTC,843,21.50000,72.00000
2024-10-14 09:42:09 UTC,844,21.90000,71.00000
2024-10-14 09:52:10 UTC,845,22.10000,71.00000
2024-10-14 10:02:10 UTC,846,22.20000,71.00000
2024-10-14 10:12:11 UTC,847,22.40000,71.00000
2024-10-14 10:22:12 UTC,848,22.40000,70.00000
2024-10-14 10:32:12 UTC,849,22.40000,70.00000
2024-10-14 10:42:13 UTC,850,22.40000,70.00000
2024-10-14 10:52:14 UTC,851,22.40000,70.00000
2024-10-14 11:02:14 UTC,852,22.40000,69.00000
2024-10-14 11:12:15 UTC,853,22.40000,69.00000
2024-10-14 11:22:16 UTC,854,22.40000,69.00000
2024-10-14 11:32:16 UTC,855,22.40000,69.00000
2024-10-14 11:42:17 UTC,856,22.40000,69.00000
2024-10-14 11:52:18 UTC,857,22.30000,69.00000
2024-10-14 12:02:18 UTC,858,22.40000,69.00000
2024-10-14 12:12:19 UTC,859,22.40000,69.00000
2024-10-14 12:22:20 UTC,860,22.40000,69.00000
2024-10-14 12:32:21 UTC,861,22.40000,69.00000
